hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,adults,children,babies,country,reserved_room_type,assigned_room_type,reservation_status,reservation_status_date,room_status,guest_type
Resort Hotel,0,342,2015,July,2,0,0,PRT,C,C,Check-Out,01-07-2015,Desired,Couples
Resort Hotel,0,737,2015,July,2,0,0,PRT,C,C,Check-Out,01-07-2015,Desired,Couples
Resort Hotel,0,7,2015,July,1,0,0,GBR,A,C,Check-Out,02-07-2015,Un-Desired,Single
Resort Hotel,0,13,2015,July,1,0,0,GBR,A,A,Check-Out,02-07-2015,Desired,Single
Resort Hotel,0,14,2015,July,2,0,0,GBR,A,A,Check-Out,03-07-2015,Desired,Couples
Resort Hotel,0,14,2015,July,2,0,0,GBR,A,A,Check-Out,03-07-2015,Desired,Couples
Resort Hotel,0,0,2015,July,2,0,0,PRT,C,C,Check-Out,03-07-2015,Desired,Couples
Resort Hotel,0,9,2015,July,2,0,0,PRT,C,C,Check-Out,03-07-2015,Desired,Couples
Resort Hotel,1,85,2015,July,2,0,0,PRT,A,A,Canceled,06-05-2015,Desired,Couples
Resort Hotel,1,75,2015,July,2,0,0,PRT,D,D,Canceled,22-04-2015,Desired,Couples
Resort Hotel,1,23,2015,July,2,0,0,PRT,E,E,Canceled,23-06-2015,Desired,Couples
Resort Hotel,0,35,2015,July,2,0,0,PRT,D,D,Check-Out,05-07-2015,Desired,Couples
Resort Hotel,0,68,2015,July,2,0,0,USA,D,E,Check-Out,05-07-2015,Un-Desired,Couples
Resort Hotel,0,18,2015,July,2,1,0,ESP,G,G,Check-Out,05-07-2015,Desired,Family
Resort Hotel,0,37,2015,July,2,0,0,PRT,E,E,Check-Out,05-07-2015,Desired,Couples
Resort Hotel,0,68,2015,July,2,0,0,IRL,D,E,Check-Out,05-07-2015,Un-Desired,Couples
Resort Hotel,0,37,2015,July,2,0,0,PRT,E,E,Check-Out,05-07-2015,Desired,Couples
Resort Hotel,0,12,2015,July,2,0,0,IRL,A,E,Check-Out,02-07-2015,Un-Desired,Couples
Resort Hotel,0,0,2015,July,2,0,0,FRA,A,G,Check-Out,02-07-2015,Un-Desired,Couples
Resort Hotel,0,7,2015,July,2,0,0,GBR,G,G,Check-Out,05-07-2015,Desired,Couples
Resort Hotel,0,37,2015,July,1,0,0,GBR,F,F,Check-Out,06-07-2015,Desired,Single
Resort Hotel,0,72,2015,July,2,0,0,PRT,A,A,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,0,72,2015,July,2,0,0,PRT,A,A,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,0,72,2015,July,2,0,0,PRT,D,D,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,0,127,2015,July,2,0,0,GBR,D,I,Check-Out,01-07-2015,Un-Desired,Couples
Resort Hotel,0,78,2015,July,2,0,0,PRT,D,D,Check-Out,08-07-2015,Desired,Couples
Resort Hotel,0,48,2015,July,2,0,0,IRL,D,D,Check-Out,08-07-2015,Desired,Couples
Resort Hotel,1,60,2015,July,2,0,0,PRT,E,E,Canceled,11-05-2015,Desired,Couples
Resort Hotel,0,77,2015,July,2,0,0,PRT,A,A,Check-Out,08-07-2015,Desired,Couples
Resort Hotel,0,99,2015,July,2,0,0,PRT,D,D,Check-Out,08-07-2015,Desired,Couples
Resort Hotel,0,118,2015,July,1,0,0,,A,A,Check-Out,15-07-2015,Desired,Single
Resort Hotel,0,95,2015,July,2,0,0,GBR,D,D,Check-Out,16-07-2015,Desired,Couples
Resort Hotel,1,96,2015,July,2,0,0,PRT,E,E,Canceled,29-05-2015,Desired,Couples
Resort Hotel,0,69,2015,July,2,0,0,IRL,A,C,Check-Out,08-07-2015,Un-Desired,Couples
Resort Hotel,1,45,2015,July,3,0,0,PRT,D,D,Canceled,19-05-2015,Desired,Family
Resort Hotel,1,40,2015,July,3,0,0,PRT,D,D,Canceled,19-06-2015,Desired,Family
Resort Hotel,0,15,2015,July,2,0,0,ESP,A,C,Check-Out,06-07-2015,Un-Desired,Couples
Resort Hotel,0,36,2015,July,3,0,0,PRT,D,D,Check-Out,06-07-2015,Desired,Family
Resort Hotel,1,43,2015,July,3,0,0,PRT,D,D,Canceled,23-05-2015,Desired,Family
Resort Hotel,0,70,2015,July,2,0,0,ROU,E,E,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,1,45,2015,July,2,0,0,PRT,G,G,Canceled,18-05-2015,Desired,Couples
Resort Hotel,0,45,2015,July,2,0,0,IRL,D,D,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,0,16,2015,July,2,0,0,ESP,F,F,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,0,70,2015,July,2,0,0,ROU,E,E,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,0,107,2015,July,2,0,0,PRT,A,A,Check-Out,09-07-2015,Desired,Couples
Resort Hotel,1,47,2015,July,2,2,0,PRT,G,G,Canceled,02-06-2015,Desired,Family
Resort Hotel,0,96,2015,July,2,0,0,ESP,A,A,Check-Out,09-07-2015,Desired,Couples
Resort Hotel,0,113,2015,July,2,0,0,NOR,E,E,Check-Out,09-07-2015,Desired,Couples
Resort Hotel,0,90,2015,July,2,0,0,GBR,A,B,Check-Out,09-07-2015,Un-Desired,Couples
Resort Hotel,0,50,2015,July,2,0,0,IRL,E,F,Check-Out,09-07-2015,Un-Desired,Couples
Resort Hotel,0,113,2015,July,2,0,0,NOR,D,D,Check-Out,09-07-2015,Desired,Couples
Resort Hotel,0,93,2015,July,2,0,0,IRL,A,A,Check-Out,13-07-2015,Desired,Couples
Resort Hotel,0,76,2015,July,2,0,0,OMN,D,D,Check-Out,16-07-2015,Desired,Couples
Resort Hotel,0,3,2015,July,2,0,0,ESP,A,C,Check-Out,03-07-2015,Un-Desired,Couples
Resort Hotel,0,1,2015,July,2,0,0,ARG,H,H,Check-Out,03-07-2015,Desired,Couples
Resort Hotel,0,1,2015,July,2,2,0,ESP,C,C,Check-Out,03-07-2015,Desired,Family
Resort Hotel,0,0,2015,July,2,0,0,PRT,H,H,Check-Out,03-07-2015,Desired,Couples
Resort Hotel,0,0,2015,July,2,0,0,PRT,A,D,Check-Out,03-07-2015,Un-Desired,Couples
Resort Hotel,0,0,2015,July,2,0,0,PRT,G,G,Check-Out,03-07-2015,Desired,Couples
Resort Hotel,0,14,2015,July,2,0,0,USA,A,C,Check-Out,04-07-2015,Un-Desired,Couples
